Player,Date,Opponent,Event,Result,TDL,TDA,TD Acc.,TD Def.,Sub. Avg.,Sub. Attempts,Sub. Success Rate,Control Time,Ground Control %,Reversals,Sweeps
Esteban Ribovics,2025-08-04,N/A,N/A,N/A,,3.0,0%,0%,0.0,0,0%,0,0%,0,0
Evan Elder,2025-08-04,N/A,N/A,N/A,,13.0,0%,0%,0.0,0,0%,0,0%,0,0
Farès Ziam,2025-08-04,N/A,N/A,N/A,,32.0,0%,0%,0.0,0,0%,0,0%,0,0
Farid Basharat,2025-08-04,N/A,N/A,N/A,3.0,38.0,0%,0%,0.0,0,0%,0,0%,0,0
Fatima Kline,2025-08-04,N/A,N/A,N/A,1.0,5.0,0%,0%,0.0,0,0%,0,0%,0,0
Felipe Bunes,2025-08-04,N/A,N/A,N/A,2.0,8.0,0%,0%,0.0,0,0%,0,0%,0,0
Felipe Lima,2025-08-04,N/A,N/A,N/A,1.0,22.0,0%,0%,0.0,0,0%,0,0%,0,0
Feng Xiaocan,2025-08-04,N/A,N/A,N/A,,2.0,0%,0%,0.0,0,0%,0,0%,0,0
Fernando Padilla,2025-08-04,N/A,N/A,N/A,,1.0,0%,0%,0.0,0,0%,0,0%,0,0
Former Roster ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Francisco Prado,2025-08-04,N/A,N/A,N/A,,21.0,0%,0%,0.0,0,0%,0,0%,0,0
Francis Marshall,2025-08-04,N/A,N/A,N/A,1.0,29.0,0%,0%,0.0,0,0%,0,0%,0,0
Frankie Saenz,2025-08-04,N/A,N/A,N/A,14.0,47.0,0%,0%,0.0,0,0%,0,0%,0,0
Gabe Green,2025-08-04,N/A,N/A,N/A,2.0,6.0,0%,0%,0.0,0,0%,0,0%,0,0
Gabriella Fernandes,2025-08-04,N/A,N/A,N/A,,11.0,0%,0%,0.0,0,0%,0,0%,0,0
Gabriel Bonfim,2025-08-04,N/A,N/A,N/A,,27.0,0%,0%,0.0,0,0%,0,0%,0,0
Gabriel Santos,2025-08-04,N/A,N/A,N/A,5.0,24.0,0%,0%,0.0,0,0%,0,0%,0,0
Garrett Armfield,2025-08-04,N/A,N/A,N/A,,8.0,0%,0%,0.0,0,0%,0,0%,0,0
Gaston Bolanos,2025-08-04,N/A,N/A,N/A,,2.0,0%,0%,0.0,0,0%,0,0%,0,0
Gauge Young,2025-08-04,N/A,N/A,N/A,,4.0,0%,0%,0.0,0,0%,0,0%,0,0
Gavin Tucker,2025-08-04,N/A,N/A,N/A,1.0,34.0,0%,0%,0.0,0,0%,0,0%,0,0
Geoff Neal,2025-08-04,N/A,N/A,N/A,,10.0,0%,0%,0.0,0,0%,0,0%,0,0
George Mangos ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Gerald Meerschaert,2025-08-04,N/A,N/A,N/A,6.0,79.0,0%,0%,0.0,0,0%,0,0%,0,0
Giga Chikadze,2025-08-04,N/A,N/A,N/A,1.0,6.0,0%,0%,0.0,0,0%,0,0%,0,0
Gilbert Burns,2025-08-04,N/A,N/A,N/A,13.0,111.0,0%,0%,0.0,0,0%,0,0%,0,0
Gilbert Urbina,2025-08-04,N/A,N/A,N/A,2.0,9.0,0%,0%,0.0,0,0%,0,0%,0,0
Gillian Robertson,2025-08-04,N/A,N/A,N/A,3.0,86.0,0%,0%,0.0,0,0%,0,0%,0,0
Grant Dawson,2025-08-04,N/A,N/A,N/A,,101.0,0%,0%,0.0,0,0%,0,0%,0,0
Gregory Rodrigues,2025-08-04,N/A,N/A,N/A,7.0,39.0,0%,0%,0.0,0,0%,0,0%,0,0
Gunnar Nelson,2025-08-04,N/A,N/A,N/A,10.0,42.0,0%,0%,0.0,0,0%,0,0%,0,0
Hailey Cowan,2025-08-04,N/A,N/A,N/A,2.0,11.0,0%,0%,0.0,0,0%,0,0%,0,0
Hamdy Abdelwahab,2025-08-04,N/A,N/A,N/A,3.0,6.0,0%,0%,0.0,0,0%,0,0%,0,0
Henry Cejudo,2025-08-04,N/A,N/A,N/A,19.0,80.0,0%,0%,0.0,0,0%,0,0%,0,0
